code,prefix,id
USA6,USA,6
USA7,USA,7
USA8,USA,8
USA9,USA,9
USA10,USA,10
USA11,USA,11
USA12,USA,12
USA13,USA,13
USA14,USA,14
USA15,USA,15
USA16,USA,16
USA17,USA,17
USA18,USA,18
USA19,USA,19
USA20,USA,20
WAL1,WAL,1
WAL2,WAL,2
WAL3,WAL,3
WAL4,WAL,4
WAL5,WAL,5
WAL6,WAL,6
WAL7,WAL,7
WAL8,WAL,8
WAL9,WAL,9
WAL10,WAL,10
WAL11,WAL,11
WAL12,WAL,12
WAL13,WAL,13
WAL14,WAL,14
WAL15,WAL,15
WAL16,WAL,16
WAL17,WAL,17
WAL18,WAL,18
WAL19,WAL,19
WAL20,WAL,20
ARG1,ARG,1
ARG2,ARG,2
ARG3,ARG,3
ARG4,ARG,4
ARG5,ARG,5
ARG6,ARG,6
ARG7,ARG,7
ARG8,ARG,8
ARG9,ARG,9
ARG10,ARG,10
ARG11,ARG,11
ARG12,ARG,12
ARG13,ARG,13
ARG14,ARG,14
ARG15,ARG,15
ARG16,ARG,16
ARG17,ARG,17
ARG18,ARG,18
ARG19,ARG,19
ARG20,ARG,20
KSA1,KSA,1
KSA2,KSA,2
KSA3,KSA,3
KSA4,KSA,4
KSA5,KSA,5
KSA6,KSA,6
KSA7,KSA,7
KSA8,KSA,8
KSA9,KSA,9
KSA10,KSA,10
KSA11,KSA,11
KSA12,KSA,12
KSA13,KSA,13
KSA14,KSA,14
KSA15,KSA,15
KSA16,KSA,16
KSA17,KSA,17
KSA18,KSA,18
KSA19,KSA,19
KSA20,KSA,20
MEX1,MEX,1
MEX2,MEX,2
MEX3,MEX,3
MEX4,MEX,4
MEX5,MEX,5
MEX6,MEX,6
MEX7,MEX,7
MEX8,MEX,8
MEX9,MEX,9
MEX10,MEX,10
MEX11,MEX,11
MEX12,MEX,12
MEX13,MEX,13
MEX14,MEX,14
MEX15,MEX,15
MEX16,MEX,16
MEX17,MEX,17
MEX18,MEX,18
MEX19,MEX,19
MEX20,MEX,20
POL1,POL,1
POL2,POL,2
POL3,POL,3
POL4,POL,4
POL5,POL,5
POL6,POL,6
POL7,POL,7
POL8,POL,8
POL9,POL,9
POL10,POL,10
POL11,POL,11
POL12,POL,12
POL13,POL,13
POL14,POL,14
POL15,POL,15
POL16,POL,16
POL17,POL,17
POL18,POL,18
POL19,POL,19
POL20,POL,20
FRA1,FRA,1
FRA2,FRA,2
FRA3,FRA,3
FRA4,FRA,4
FRA5,FRA,5
FRA6,FRA,6
FRA7,FRA,7
FRA8,FRA,8
FRA9,FRA,9
FRA10,FRA,10
FRA11,FRA,11
FRA12,FRA,12
FRA13,FRA,13
FRA14,FRA,14
FRA15,FRA,15
FRA16,FRA,16
FRA17,FRA,17
FRA18,FRA,18
FRA19,FRA,19
FRA20,FRA,20
AUS1,AUS,1
AUS2,AUS,2
AUS3,AUS,3
AUS4,AUS,4
AUS5,AUS,5
AUS6,AUS,6
AUS7,AUS,7
AUS8,AUS,8
AUS9,AUS,9
AUS10,AUS,10
AUS11,AUS,11
AUS12,AUS,12
AUS13,AUS,13
AUS14,AUS,14
AUS15,AUS,15
AUS16,AUS,16
AUS17,AUS,17
AUS18,AUS,18
AUS19,AUS,19
AUS20,AUS,20
DEN1,DEN,1
DEN2,DEN,2
DEN3,DEN,3
DEN4,DEN,4
DEN5,DEN,5
DEN6,DEN,6
DEN7,DEN,7
DEN8,DEN,8
DEN9,DEN,9
DEN10,DEN,10
DEN11,DEN,11
DEN12,DEN,12
DEN13,DEN,13
DEN14,DEN,14
DEN15,DEN,15
DEN16,DEN,16
DEN17,DEN,17
DEN18,DEN,18
DEN19,DEN,19
DEN20,DEN,20
TUN1,TUN,1
TUN2,TUN,2
TUN3,TUN,3
TUN4,TUN,4
TUN5,TUN,5
TUN6,TUN,6
TUN7,TUN,7
TUN8,TUN,8
TUN9,TUN,9
TUN10,TUN,10
TUN11,TUN,11
TUN12,TUN,12
TUN13,TUN,13
TUN14,TUN,14
TUN15,TUN,15
TUN16,TUN,16
TUN17,TUN,17
TUN18,TUN,18
TUN19,TUN,19
TUN20,TUN,20
ESP1,ESP,1
ESP2,ESP,2
ESP3,ESP,3
ESP4,ESP,4
ESP5,ESP,5
ESP6,ESP,6
ESP7,ESP,7
ESP8,ESP,8
ESP9,ESP,9
ESP10,ESP,10
ESP11,ESP,11
ESP12,ESP,12
ESP13,ESP,13
ESP14,ESP,14
ESP15,ESP,15
ESP16,ESP,16
ESP17,ESP,17
ESP18,ESP,18
ESP19,ESP,19
ESP20,ESP,20
CRC1,CRC,1
CRC2,CRC,2
CRC3,CRC,3
CRC4,CRC,4
CRC5,CRC,5
CRC6,CRC,6
CRC7,CRC,7
CRC8,CRC,8
CRC9,CRC,9
CRC10,CRC,10
CRC11,CRC,11
CRC12,CRC,12
CRC13,CRC,13
CRC14,CRC,14
CRC15,CRC,15
CRC16,CRC,16
CRC17,CRC,17
CRC18,CRC,18
CRC19,CRC,19
CRC20,CRC,20
GER1,GER,1
GER2,GER,2
GER3,GER,3
GER4,GER,4
GER5,GER,5
GER6,GER,6
GER7,GER,7
GER8,GER,8
GER9,GER,9
GER10,GER,10
GER11,GER,11
GER12,GER,12
GER13,GER,13
GER14,GER,14
GER15,GER,15
GER16,GER,16
GER17,GER,17
GER18,GER,18
GER19,GER,19
GER20,GER,20
JPN1,JPN,1
JPN2,JPN,2
JPN3,JPN,3
JPN4,JPN,4
JPN5,JPN,5
JPN6,JPN,6
JPN7,JPN,7
JPN8,JPN,8
JPN9,JPN,9
JPN10,JPN,10
JPN11,JPN,11
JPN12,JPN,12
JPN13,JPN,13
JPN14,JPN,14
JPN15,JPN,15
JPN16,JPN,16
JPN17,JPN,17
JPN18,JPN,18
JPN19,JPN,19
JPN20,JPN,20
BEL1,BEL,1
BEL2,BEL,2
BEL3,BEL,3
BEL4,BEL,4
BEL5,BEL,5
BEL6,BEL,6
BEL7,BEL,7
BEL8,BEL,8
BEL9,BEL,9
BEL10,BEL,10
BEL11,BEL,11
BEL12,BEL,12
BEL13,BEL,13
BEL14,BEL,14
BEL15,BEL,15
BEL16,BEL,16
BEL17,BEL,17
BEL18,BEL,18
BEL19,BEL,19
BEL20,BEL,20
CAN1,CAN,1
CAN2,CAN,2
CAN3,CAN,3
CAN4,CAN,4
CAN5,CAN,5
CAN6,CAN,6
CAN7,CAN,7
CAN8,CAN,8
CAN9,CAN,9
CAN10,CAN,10
CAN11,CAN,11
CAN12,CAN,12
CAN13,CAN,13
CAN14,CAN,14
CAN15,CAN,15
CAN16,CAN,16
CAN17,CAN,17
CAN18,CAN,18
CAN19,CAN,19
CAN20,CAN,20
MAR1,MAR,1
MAR2,MAR,2
MAR3,MAR,3
MAR4,MAR,4
MAR5,MAR,5
MAR6,MAR,6
MAR7,MAR,7
MAR8,MAR,8
MAR9,MAR,9
MAR10,MAR,10
MAR11,MAR,11
MAR12,MAR,12
MAR13,MAR,13
MAR14,MAR,14
MAR15,MAR,15
MAR16,MAR,16
MAR17,MAR,17
MAR18,MAR,18
MAR19,MAR,19
MAR20,MAR,20
CRO1,CRO,1
CRO2,CRO,2
CRO3,CRO,3
CRO4,CRO,4
CRO5,CRO,5
CRO6,CRO,6
CRO7,CRO,7
CRO8,CRO,8
CRO9,CRO,9
CRO10,CRO,10
CRO11,CRO,11
CRO12,CRO,12
CRO13,CRO,13
CRO14,CRO,14
CRO15,CRO,15
CRO16,CRO,16
CRO17,CRO,17
CRO18,CRO,18
CRO19,CRO,19
CRO20,CRO,20
BRA1,BRA,1
BRA2,BRA,2
BRA3,BRA,3
BRA4,BRA,4
BRA5,BRA,5
BRA6,BRA,6
BRA7,BRA,7
BRA8,BRA,8
BRA9,BRA,9
BRA10,BRA,10
BRA11,BRA,11
BRA12,BRA,12
BRA13,BRA,13
BRA14,BRA,14
BRA15,BRA,15
BRA16,BRA,16
BRA17,BRA,17
BRA18,BRA,18
BRA19,BRA,19
BRA20,BRA,20
SRB1,SRB,1
SRB2,SRB,2
SRB3,SRB,3
SRB4,SRB,4
SRB5,SRB,5
SRB6,SRB,6
SRB7,SRB,7
SRB8,SRB,8
SRB9,SRB,9
SRB10,SRB,10
SRB11,SRB,11
SRB12,SRB,12
SRB13,SRB,13
SRB14,SRB,14
SRB15,SRB,15
SRB16,SRB,16
SRB17,SRB,17
SRB18,SRB,18
SRB19,SRB,19
SRB20,SRB,20
SUI1,SUI,1
SUI2,SUI,2
SUI3,SUI,3
SUI4,SUI,4
SUI5,SUI,5
SUI6,SUI,6
SUI7,SUI,7
SUI8,SUI,8
SUI9,SUI,9
SUI10,SUI,10
SUI11,SUI,11
SUI12,SUI,12
SUI13,SUI,13
SUI14,SUI,14
SUI15,SUI,15
SUI16,SUI,16
SUI17,SUI,17
SUI18,SUI,18
SUI19,SUI,19
SUI20,SUI,20
CMR1,CMR,1
CMR2,CMR,2
CMR3,CMR,3
CMR4,CMR,4
CMR5,CMR,5
CMR6,CMR,6
CMR7,CMR,7
CMR8,CMR,8
CMR9,CMR,9
CMR10,CMR,10
CMR11,CMR,11
CMR12,CMR,12
CMR13,CMR,13
CMR14,CMR,14
CMR15,CMR,15
CMR16,CMR,16
CMR17,CMR,17
CMR18,CMR,18
CMR19,CMR,19
CMR20,CMR,20
POR1,POR,1
POR2,POR,2
POR3,POR,3
POR4,POR,4
POR5,POR,5
POR6,POR,6
POR7,POR,7
POR8,POR,8
POR9,POR,9
POR10,POR,10
POR11,POR,11
POR12,POR,12
POR13,POR,13
POR14,POR,14
POR15,POR,15
POR16,POR,16
POR17,POR,17
POR18,POR,18
POR19,POR,19
POR20,POR,20
GHA1,GHA,1
GHA2,GHA,2
GHA3,GHA,3
GHA4,GHA,4
GHA5,GHA,5
GHA6,GHA,6
GHA7,GHA,7
GHA8,GHA,8
GHA9,GHA,9
GHA10,GHA,10
GHA11,GHA,11
GHA12,GHA,12
GHA13,GHA,13
GHA14,GHA,14
GHA15,GHA,15
GHA16,GHA,16
GHA17,GHA,17
GHA18,GHA,18
GHA19,GHA,19
GHA20,GHA,20
URU1,URU,1
URU2,URU,2
URU3,URU,3
URU4,URU,4
URU5,URU,5
URU6,URU,6
URU7,URU,7
URU8,URU,8
URU9,URU,9
URU10,URU,10
URU11,URU,11
URU12,URU,12
URU13,URU,13
URU14,URU,14
URU15,URU,15
URU16,URU,16
URU17,URU,17
URU18,URU,18
URU19,URU,19
URU20,URU,20
KOR1,KOR,1
KOR2,KOR,2
KOR3,KOR,3
KOR4,KOR,4
KOR5,KOR,5
KOR6,KOR,6
KOR7,KOR,7
KOR8,KOR,8
KOR9,KOR,9
KOR10,KOR,10
KOR11,KOR,11
KOR12,KOR,12
KOR13,KOR,13
KOR14,KOR,14
KOR15,KOR,15
KOR16,KOR,16
KOR17,KOR,17
KOR18,KOR,18
KOR19,KOR,19
KOR20,KOR,20
